race,death_percent,better_off,worse_off,population_percent
Latino,0.454,,0.065,0.389
White,0.327,0.039,,0.366
Asian,0.113,0.041,,0.154
African American,0.068,,0.008,0.060
Multi-Race,0.015,0.007,,0.022
American Indian or Alaska Native,0.004,0.001,,0.005
Native Hawaiian and other Pacific Islander,0.006,,0.003,0.003
BREAK,0.000,0.000,0.000,0.000
Latino,0.525,,0.136,0.389
White,0.236,0.130,,0.366
Asian,0.068,0.086,,0.154
African American,0.050,0.010,,0.060
Multi-Race,0.016,0.006,,0.022
American Indian or Alaska Native,0.004,0.001,,0.005
Native Hawaiian and other Pacific Islander,0.006,,0.003,0.003
